"","from","to","time","flow","type"
"2",0,7,"2015-Q1",84,1
"43",1,7,"2015-Q1",101,1
"86",1,8,"2015-Q1",-6,1
"129",1,11,"2015-Q1",127,1
"172",1,14,"2015-Q1",18,1
"215",2,7,"2015-Q1",-16,1
"258",2,12,"2015-Q1",-8,1
"301",3,7,"2015-Q1",184,1
"344",3,8,"2015-Q1",402,1
"387",3,11,"2015-Q1",218,1
"430",3,14,"2015-Q1",137,1
"473",4,7,"2015-Q1",-33,1
"516",4,8,"2015-Q1",98,1
"559",4,12,"2015-Q1",21,1
"602",4,14,"2015-Q1",20,1
"645",6,7,"2015-Q1",-67,1
"688",6,8,"2015-Q1",2,1
"731",6,12,"2015-Q1",9,1
"774",6,14,"2015-Q1",90,1
"817",7,1,"2015-Q1",-40,2
"860",7,2,"2015-Q1",146,2
"903",7,3,"2015-Q1",-31,2
"946",7,4,"2015-Q1",23,2
"989",8,1,"2015-Q1",25,2
"1032",8,3,"2015-Q1",223,2
"1075",8,4,"2015-Q1",117,2
"1118",11,2,"2015-Q1",-15,2
"1161",11,3,"2015-Q1",233,2
"1204",11,4,"2015-Q1",71,2
"1247",11,6,"2015-Q1",-7,2
"1290",14,1,"2015-Q1",50,2
"1333",14,3,"2015-Q1",325,2
