"","from","to","time","flow","type"
"12",1,7,"2013-Q2",20,1
"31",1,8,"2013-Q2",5,1
"50",1,11,"2013-Q2",-81,1
"69",1,14,"2013-Q2",-13,1
"88",2,7,"2013-Q2",-11,1
"107",2,12,"2013-Q2",0,1
"126",3,7,"2013-Q2",60,1
"145",3,8,"2013-Q2",12,1
"164",3,11,"2013-Q2",151,1
"183",3,14,"2013-Q2",-2,1
"202",4,7,"2013-Q2",-10,1
"221",4,8,"2013-Q2",-28,1
"240",4,12,"2013-Q2",31,1
"259",4,14,"2013-Q2",-4,1
"278",6,7,"2013-Q2",-48,1
"297",6,8,"2013-Q2",26,1
"316",6,12,"2013-Q2",24,1
"335",6,14,"2013-Q2",44,1
"354",7,1,"2013-Q2",-123,2
"373",7,2,"2013-Q2",139,2
"392",7,3,"2013-Q2",5,2
"411",7,4,"2013-Q2",12,2
"430",8,1,"2013-Q2",0,2
"449",8,3,"2013-Q2",8,2
"468",8,4,"2013-Q2",52,2
"487",11,2,"2013-Q2",31,2
"506",11,3,"2013-Q2",84,2
"525",11,4,"2013-Q2",-23,2
"544",11,6,"2013-Q2",1,2
"563",14,1,"2013-Q2",-43,2
"582",14,3,"2013-Q2",95,2
