"","from","to","time","flow","type"
"12",1,7,"2007-Q2",203,1
"55",1,8,"2007-Q2",20,1
"98",1,11,"2007-Q2",342,1
"141",1,14,"2007-Q2",6,1
"184",2,7,"2007-Q2",13,1
"227",2,12,"2007-Q2",16,1
"270",3,7,"2007-Q2",307,1
"313",3,8,"2007-Q2",92,1
"356",3,11,"2007-Q2",497,1
"399",3,14,"2007-Q2",59,1
"442",4,7,"2007-Q2",9,1
"485",4,8,"2007-Q2",123,1
"528",4,12,"2007-Q2",87,1
"571",4,14,"2007-Q2",-21,1
"614",6,7,"2007-Q2",19,1
"657",6,8,"2007-Q2",17,1
"700",6,12,"2007-Q2",78,1
"743",6,14,"2007-Q2",-11,1
"786",7,1,"2007-Q2",137,2
"829",7,2,"2007-Q2",113,2
"872",7,3,"2007-Q2",224,2
"915",7,4,"2007-Q2",41,2
"958",8,1,"2007-Q2",13,2
"1001",8,3,"2007-Q2",93,2
"1044",8,4,"2007-Q2",68,2
"1087",11,2,"2007-Q2",-13,2
"1130",11,3,"2007-Q2",112,2
"1173",11,4,"2007-Q2",221,2
"1216",11,6,"2007-Q2",118,2
"1259",14,1,"2007-Q2",46,2
"1302",14,3,"2007-Q2",121,2
