"","from","to","time","flow","type"
"30",1,7,"2011-Q4",148,1
"73",1,8,"2011-Q4",-2,1
"116",1,11,"2011-Q4",-144,1
"159",1,14,"2011-Q4",0,1
"202",2,7,"2011-Q4",3,1
"245",2,12,"2011-Q4",15,1
"288",3,7,"2011-Q4",117,1
"331",3,8,"2011-Q4",35,1
"374",3,11,"2011-Q4",27,1
"417",3,14,"2011-Q4",0,1
"460",4,7,"2011-Q4",-7,1
"503",4,8,"2011-Q4",71,1
"546",4,12,"2011-Q4",49,1
"589",4,14,"2011-Q4",-5,1
"632",6,7,"2011-Q4",42,1
"675",6,8,"2011-Q4",24,1
"718",6,12,"2011-Q4",35,1
"761",6,14,"2011-Q4",-26,1
"804",7,1,"2011-Q4",26,2
"847",7,2,"2011-Q4",58,2
"890",7,3,"2011-Q4",57,2
"933",7,4,"2011-Q4",10,2
"976",8,1,"2011-Q4",16,2
"1019",8,3,"2011-Q4",107,2
"1062",8,4,"2011-Q4",-2,2
"1105",11,2,"2011-Q4",58,2
"1148",11,3,"2011-Q4",-3,2
"1191",11,4,"2011-Q4",84,2
"1234",11,6,"2011-Q4",20,2
"1277",14,1,"2011-Q4",14,2
"1320",14,3,"2011-Q4",-24,2
