"","from","to","time","flow","type"
"29",1,7,"2011-Q3",33,1
"72",1,8,"2011-Q3",-8,1
"115",1,11,"2011-Q3",47,1
"158",1,14,"2011-Q3",-8,1
"201",2,7,"2011-Q3",1,1
"244",2,12,"2011-Q3",8,1
"287",3,7,"2011-Q3",-20,1
"330",3,8,"2011-Q3",25,1
"373",3,11,"2011-Q3",114,1
"416",3,14,"2011-Q3",3,1
"459",4,7,"2011-Q3",5,1
"502",4,8,"2011-Q3",78,1
"545",4,12,"2011-Q3",31,1
"588",4,14,"2011-Q3",-16,1
"631",6,7,"2011-Q3",2,1
"674",6,8,"2011-Q3",22,1
"717",6,12,"2011-Q3",33,1
"760",6,14,"2011-Q3",-23,1
"803",7,1,"2011-Q3",-10,2
"846",7,2,"2011-Q3",-23,2
"889",7,3,"2011-Q3",-28,2
"932",7,4,"2011-Q3",18,2
"975",8,1,"2011-Q3",33,2
"1018",8,3,"2011-Q3",178,2
"1061",8,4,"2011-Q3",11,2
"1104",11,2,"2011-Q3",31,2
"1147",11,3,"2011-Q3",88,2
"1190",11,4,"2011-Q3",55,2
"1233",11,6,"2011-Q3",14,2
"1276",14,1,"2011-Q3",-1,2
"1319",14,3,"2011-Q3",-55,2
