"","from","to","time","flow","type"
"19",1,7,"2009-Q1",268,1
"62",1,8,"2009-Q1",17,1
"105",1,11,"2009-Q1",-21,1
"148",1,14,"2009-Q1",-5,1
"191",2,7,"2009-Q1",12,1
"234",2,12,"2009-Q1",13,1
"277",3,7,"2009-Q1",382,1
"320",3,8,"2009-Q1",73,1
"363",3,11,"2009-Q1",86,1
"406",3,14,"2009-Q1",-28,1
"449",4,7,"2009-Q1",-3,1
"492",4,8,"2009-Q1",64,1
"535",4,12,"2009-Q1",25,1
"578",4,14,"2009-Q1",23,1
"621",6,7,"2009-Q1",-30,1
"664",6,8,"2009-Q1",19,1
"707",6,12,"2009-Q1",37,1
"750",6,14,"2009-Q1",11,1
"793",7,1,"2009-Q1",64,2
"836",7,2,"2009-Q1",257,2
"879",7,3,"2009-Q1",171,2
"922",7,4,"2009-Q1",30,2
"965",8,1,"2009-Q1",21,2
"1008",8,3,"2009-Q1",103,2
"1051",8,4,"2009-Q1",38,2
"1094",11,2,"2009-Q1",21,2
"1137",11,3,"2009-Q1",6,2
"1180",11,4,"2009-Q1",15,2
"1223",11,6,"2009-Q1",1,2
"1266",14,1,"2009-Q1",43,2
"1309",14,3,"2009-Q1",25,2
