"","from","to","time","flow","type"
"8",0,7,"2016-Q3",226,1
"49",1,7,"2016-Q3",87,1
"92",1,8,"2016-Q3",28,1
"135",1,11,"2016-Q3",79,1
"178",1,14,"2016-Q3",7,1
"221",2,7,"2016-Q3",-13,1
"264",2,12,"2016-Q3",-3,1
"307",3,7,"2016-Q3",186,1
"350",3,8,"2016-Q3",159,1
"393",3,11,"2016-Q3",114,1
"436",3,14,"2016-Q3",85,1
"479",4,7,"2016-Q3",-9,1
"522",4,8,"2016-Q3",105,1
"565",4,12,"2016-Q3",43,1
"608",4,14,"2016-Q3",13,1
"651",6,7,"2016-Q3",-33,1
"694",6,8,"2016-Q3",-15,1
"737",6,12,"2016-Q3",23,1
"780",6,14,"2016-Q3",10,1
"823",7,1,"2016-Q3",-21,2
"866",7,2,"2016-Q3",-30,2
"909",7,3,"2016-Q3",-40,2
"952",7,4,"2016-Q3",23,2
"995",8,1,"2016-Q3",5,2
"1038",8,3,"2016-Q3",76,2
"1081",8,4,"2016-Q3",71,2
"1124",11,2,"2016-Q3",-38,2
"1167",11,3,"2016-Q3",37,2
"1210",11,4,"2016-Q3",-56,2
"1253",11,6,"2016-Q3",36,2
"1296",14,1,"2016-Q3",33,2
"1339",14,3,"2016-Q3",177,2
