"","from","to","time","flow","type"
"34",1,7,"2012-Q4",-30,1
"77",1,8,"2012-Q4",33,1
"120",1,11,"2012-Q4",-147,1
"163",1,14,"2012-Q4",13,1
"206",2,7,"2012-Q4",9,1
"249",2,12,"2012-Q4",9,1
"292",3,7,"2012-Q4",-51,1
"335",3,8,"2012-Q4",88,1
"378",3,11,"2012-Q4",36,1
"421",3,14,"2012-Q4",62,1
"464",4,7,"2012-Q4",-10,1
"507",4,8,"2012-Q4",-31,1
"550",4,12,"2012-Q4",35,1
"593",4,14,"2012-Q4",1,1
"636",6,7,"2012-Q4",-51,1
"679",6,8,"2012-Q4",26,1
"722",6,12,"2012-Q4",31,1
"765",6,14,"2012-Q4",4,1
"808",7,1,"2012-Q4",-111,2
"851",7,2,"2012-Q4",34,2
"894",7,3,"2012-Q4",-10,2
"937",7,4,"2012-Q4",16,2
"980",8,1,"2012-Q4",32,2
"1023",8,3,"2012-Q4",25,2
"1066",8,4,"2012-Q4",72,2
"1109",11,2,"2012-Q4",194,2
"1152",11,3,"2012-Q4",-6,2
"1195",11,4,"2012-Q4",-81,2
"1238",11,6,"2012-Q4",15,2
"1281",14,1,"2012-Q4",-21,2
"1324",14,3,"2012-Q4",103,2
