"","from","to","time","flow","type"
"5",0,7,"2015-Q4",176,1
"46",1,7,"2015-Q4",52,1
"89",1,8,"2015-Q4",-5,1
"132",1,11,"2015-Q4",-41,1
"175",1,14,"2015-Q4",-2,1
"218",2,7,"2015-Q4",-19,1
"261",2,12,"2015-Q4",11,1
"304",3,7,"2015-Q4",203,1
"347",3,8,"2015-Q4",48,1
"390",3,11,"2015-Q4",-196,1
"433",3,14,"2015-Q4",77,1
"476",4,7,"2015-Q4",0,1
"519",4,8,"2015-Q4",80,1
"562",4,12,"2015-Q4",54,1
"605",4,14,"2015-Q4",5,1
"648",6,7,"2015-Q4",-11,1
"691",6,8,"2015-Q4",3,1
"734",6,12,"2015-Q4",22,1
"777",6,14,"2015-Q4",6,1
"820",7,1,"2015-Q4",-94,2
"863",7,2,"2015-Q4",-39,2
"906",7,3,"2015-Q4",-68,2
"949",7,4,"2015-Q4",3,2
"992",8,1,"2015-Q4",20,2
"1035",8,3,"2015-Q4",-24,2
"1078",8,4,"2015-Q4",98,2
"1121",11,2,"2015-Q4",36,2
"1164",11,3,"2015-Q4",29,2
"1207",11,4,"2015-Q4",-37,2
"1250",11,6,"2015-Q4",22,2
"1293",14,1,"2015-Q4",43,2
"1336",14,3,"2015-Q4",171,2
