"","from","to","time","flow","type"
"15",1,7,"2008-Q1",240,1
"58",1,8,"2008-Q1",-3,1
"101",1,11,"2008-Q1",354,1
"144",1,14,"2008-Q1",-4,1
"187",2,7,"2008-Q1",3,1
"230",2,12,"2008-Q1",11,1
"273",3,7,"2008-Q1",247,1
"316",3,8,"2008-Q1",-78,1
"359",3,11,"2008-Q1",568,1
"402",3,14,"2008-Q1",-2,1
"445",4,7,"2008-Q1",0,1
"488",4,8,"2008-Q1",79,1
"531",4,12,"2008-Q1",72,1
"574",4,14,"2008-Q1",16,1
"617",6,7,"2008-Q1",33,1
"660",6,8,"2008-Q1",-6,1
"703",6,12,"2008-Q1",62,1
"746",6,14,"2008-Q1",-27,1
"789",7,1,"2008-Q1",71,2
"832",7,2,"2008-Q1",86,2
"875",7,3,"2008-Q1",110,2
"918",7,4,"2008-Q1",11,2
"961",8,1,"2008-Q1",3,2
"1004",8,3,"2008-Q1",30,2
"1047",8,4,"2008-Q1",36,2
"1090",11,2,"2008-Q1",29,2
"1133",11,3,"2008-Q1",251,2
"1176",11,4,"2008-Q1",176,2
"1219",11,6,"2008-Q1",49,2
"1262",14,1,"2008-Q1",128,2
"1305",14,3,"2008-Q1",26,2
