"","from","to","time","flow","type"
"1",0,7,"2014-Q4",31,1
"42",1,7,"2014-Q4",-75,1
"85",1,8,"2014-Q4",46,1
"128",1,11,"2014-Q4",10,1
"171",1,14,"2014-Q4",-10,1
"214",2,7,"2014-Q4",-6,1
"257",2,12,"2014-Q4",6,1
"300",3,7,"2014-Q4",47,1
"343",3,8,"2014-Q4",-23,1
"386",3,11,"2014-Q4",89,1
"429",3,14,"2014-Q4",108,1
"472",4,7,"2014-Q4",-22,1
"515",4,8,"2014-Q4",111,1
"558",4,12,"2014-Q4",49,1
"601",4,14,"2014-Q4",-7,1
"644",6,7,"2014-Q4",-53,1
"687",6,8,"2014-Q4",8,1
"730",6,12,"2014-Q4",20,1
"773",6,14,"2014-Q4",21,1
"816",7,1,"2014-Q4",-147,2
"859",7,2,"2014-Q4",-12,2
"902",7,3,"2014-Q4",-128,2
"945",7,4,"2014-Q4",-7,2
"988",8,1,"2014-Q4",5,2
"1031",8,3,"2014-Q4",19,2
"1074",8,4,"2014-Q4",43,2
"1117",11,2,"2014-Q4",46,2
"1160",11,3,"2014-Q4",20,2
"1203",11,4,"2014-Q4",126,2
"1246",11,6,"2014-Q4",3,2
"1289",14,1,"2014-Q4",-9,2
"1332",14,3,"2014-Q4",113,2
