"","from","to","time","flow","type"
"28",1,7,"2011-Q2",-17,1
"71",1,8,"2011-Q2",19,1
"114",1,11,"2011-Q2",98,1
"157",1,14,"2011-Q2",5,1
"200",2,7,"2011-Q2",-6,1
"243",2,12,"2011-Q2",10,1
"286",3,7,"2011-Q2",37,1
"329",3,8,"2011-Q2",129,1
"372",3,11,"2011-Q2",138,1
"415",3,14,"2011-Q2",47,1
"458",4,7,"2011-Q2",-6,1
"501",4,8,"2011-Q2",113,1
"544",4,12,"2011-Q2",43,1
"587",4,14,"2011-Q2",-8,1
"630",6,7,"2011-Q2",10,1
"673",6,8,"2011-Q2",2,1
"716",6,12,"2011-Q2",40,1
"759",6,14,"2011-Q2",-12,1
"802",7,1,"2011-Q2",-1,2
"845",7,2,"2011-Q2",156,2
"888",7,3,"2011-Q2",12,2
"931",7,4,"2011-Q2",9,2
"974",8,1,"2011-Q2",31,2
"1017",8,3,"2011-Q2",106,2
"1060",8,4,"2011-Q2",58,2
"1103",11,2,"2011-Q2",1,2
"1146",11,3,"2011-Q2",54,2
"1189",11,4,"2011-Q2",102,2
"1232",11,6,"2011-Q2",44,2
"1275",14,1,"2011-Q2",-22,2
"1318",14,3,"2011-Q2",43,2
