"","from","to","time","flow","type"
"22",1,7,"2009-Q4",-78,1
"65",1,8,"2009-Q4",18,1
"108",1,11,"2009-Q4",-17,1
"151",1,14,"2009-Q4",-14,1
"194",2,7,"2009-Q4",-8,1
"237",2,12,"2009-Q4",29,1
"280",3,7,"2009-Q4",41,1
"323",3,8,"2009-Q4",165,1
"366",3,11,"2009-Q4",39,1
"409",3,14,"2009-Q4",63,1
"452",4,7,"2009-Q4",-7,1
"495",4,8,"2009-Q4",0,1
"538",4,12,"2009-Q4",33,1
"581",4,14,"2009-Q4",3,1
"624",6,7,"2009-Q4",-13,1
"667",6,8,"2009-Q4",16,1
"710",6,12,"2009-Q4",38,1
"753",6,14,"2009-Q4",-30,1
"796",7,1,"2009-Q4",-36,2
"839",7,2,"2009-Q4",36,2
"882",7,3,"2009-Q4",-4,2
"925",7,4,"2009-Q4",12,2
"968",8,1,"2009-Q4",13,2
"1011",8,3,"2009-Q4",139,2
"1054",8,4,"2009-Q4",43,2
"1097",11,2,"2009-Q4",10,2
"1140",11,3,"2009-Q4",-9,2
"1183",11,4,"2009-Q4",23,2
"1226",11,6,"2009-Q4",24,2
"1269",14,1,"2009-Q4",-60,2
"1312",14,3,"2009-Q4",54,2
