"","from","to","time","flow","type"
"17",1,7,"2008-Q3",-31,1
"60",1,8,"2008-Q3",27,1
"103",1,11,"2008-Q3",163,1
"146",1,14,"2008-Q3",-5,1
"189",2,7,"2008-Q3",9,1
"232",2,12,"2008-Q3",18,1
"275",3,7,"2008-Q3",-55,1
"318",3,8,"2008-Q3",62,1
"361",3,11,"2008-Q3",244,1
"404",3,14,"2008-Q3",-34,1
"447",4,7,"2008-Q3",2,1
"490",4,8,"2008-Q3",77,1
"533",4,12,"2008-Q3",65,1
"576",4,14,"2008-Q3",3,1
"619",6,7,"2008-Q3",23,1
"662",6,8,"2008-Q3",6,1
"705",6,12,"2008-Q3",61,1
"748",6,14,"2008-Q3",-35,1
"791",7,1,"2008-Q3",-23,2
"834",7,2,"2008-Q3",43,2
"877",7,3,"2008-Q3",37,2
"920",7,4,"2008-Q3",8,2
"963",8,1,"2008-Q3",30,2
"1006",8,3,"2008-Q3",103,2
"1049",8,4,"2008-Q3",54,2
"1092",11,2,"2008-Q3",-1,2
"1135",11,3,"2008-Q3",61,2
"1178",11,4,"2008-Q3",142,2
"1221",11,6,"2008-Q3",48,2
"1264",14,1,"2008-Q3",-33,2
"1307",14,3,"2008-Q3",-134,2
