"","from","to","time","flow","type"
"32",1,7,"2012-Q2",-97,1
"75",1,8,"2012-Q2",6,1
"118",1,11,"2012-Q2",38,1
"161",1,14,"2012-Q2",-10,1
"204",2,7,"2012-Q2",17,1
"247",2,12,"2012-Q2",1,1
"290",3,7,"2012-Q2",-59,1
"333",3,8,"2012-Q2",57,1
"376",3,11,"2012-Q2",97,1
"419",3,14,"2012-Q2",21,1
"462",4,7,"2012-Q2",-3,1
"505",4,8,"2012-Q2",48,1
"548",4,12,"2012-Q2",39,1
"591",4,14,"2012-Q2",-2,1
"634",6,7,"2012-Q2",-27,1
"677",6,8,"2012-Q2",14,1
"720",6,12,"2012-Q2",31,1
"763",6,14,"2012-Q2",-15,1
"806",7,1,"2012-Q2",-111,2
"849",7,2,"2012-Q2",100,2
"892",7,3,"2012-Q2",-141,2
"935",7,4,"2012-Q2",27,2
"978",8,1,"2012-Q2",0,2
"1021",8,3,"2012-Q2",37,2
"1064",8,4,"2012-Q2",17,2
"1107",11,2,"2012-Q2",171,2
"1150",11,3,"2012-Q2",98,2
"1193",11,4,"2012-Q2",4,2
"1236",11,6,"2012-Q2",14,2
"1279",14,1,"2012-Q2",-4,2
"1322",14,3,"2012-Q2",32,2
