"","from","to","time","flow","type"
"9",0,7,"2016-Q4",231,1
"50",1,7,"2016-Q4",127,1
"93",1,8,"2016-Q4",1,1
"136",1,11,"2016-Q4",-45,1
"179",1,14,"2016-Q4",0,1
"222",2,7,"2016-Q4",13,1
"265",2,12,"2016-Q4",5,1
"308",3,7,"2016-Q4",91,1
"351",3,8,"2016-Q4",-16,1
"394",3,11,"2016-Q4",-216,1
"437",3,14,"2016-Q4",67,1
"480",4,7,"2016-Q4",-39,1
"523",4,8,"2016-Q4",111,1
"566",4,12,"2016-Q4",68,1
"609",4,14,"2016-Q4",9,1
"652",6,7,"2016-Q4",-24,1
"695",6,8,"2016-Q4",-10,1
"738",6,12,"2016-Q4",25,1
"781",6,14,"2016-Q4",5,1
"824",7,1,"2016-Q4",-57,2
"867",7,2,"2016-Q4",-9,2
"910",7,3,"2016-Q4",-20,2
"953",7,4,"2016-Q4",25,2
"996",8,1,"2016-Q4",0,2
"1039",8,3,"2016-Q4",-129,2
"1082",8,4,"2016-Q4",91,2
"1125",11,2,"2016-Q4",15,2
"1168",11,3,"2016-Q4",-68,2
"1211",11,4,"2016-Q4",-14,2
"1254",11,6,"2016-Q4",37,2
"1297",14,1,"2016-Q4",38,2
"1340",14,3,"2016-Q4",123,2
